"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55","PC56","PC57","PC58","PC59","PC60","PC61","PC62","PC63","PC64","PC65","PC66","PC67","PC68","PC69","PC70","PC71","PC72","PC73","PC74","PC75","PC76","PC77","PC78","PC79","PC80","PC81","PC82","PC83","PC84","PC85","PC86","PC87","PC88","PC89","PC90","PC91","PC92","PC93","PC94","PC95","PC96","PC97","PC98","PC99","PC100","PC101","PC102","PC103","PC104","PC105","PC106","PC107","PC108","PC109","PC110","PC111","PC112","PC113","PC114","PC115","PC116","PC117","PC118","PC119","PC120","PC121","PC122","PC123","pathway"
"1-phosphatidylinositol-3-kinase activity",-40.0466795636301,7.82363133115998,-0.39873833552103,5.41257206912626,-5.02122645542276,1.37184305874844,-10.6932502221649,10.4267573735027,-8.82790981204982,5.3786589514124,-26.9497971873765,13.5178603635824,-10.8484975879216,5.73368587936092,-7.57745166281286,0.171422671521919,4.65559220173952,-1.83509571003673,4.46578093439082,-1.61455403301075,7.17675087744257,-1.39202692312157,1.35447282615479,-2.97910475046926,3.70626696168976,-13.964408477226,1.02532477504338,-8.62556676887919,35.8131221355078,-20.585351938926,14.9664383350477,13.5513955973002,-19.830617245237,0.334774960014996,1.43670251631499,-3.62855321222541,1.77761945849227,0.642927947618725,-3.44312051452439,-2.74899385503938,3.2041081036006,1.98872394338403,-4.40663320050741,0.650412352365202,0.913988473000682,1.43562185202024,6.06865070922017,-4.20420095534635,-8.02522042417437,2.59608786831286,2.77618556828976,1.48222804436776,-0.13308948662547,-1.15982157671709,-1.38386652209573,-1.71547429199408,2.69484126155444,0.374519907132666,3.92057722977073,-2.163079415002,-0.759166047254713,-0.683827476083451,2.47853273468149,2.32083898517348,0.691166961425077,0.894231769117601,-1.10231087284537,-1.14586969452132,-0.775928281669033,2.50228538278989,0.333513783242919,0.620918596618709,-2.68400487060042,-0.390344009872878,-0.838254370813799,0.269047609780892,1.63722330240963,0.365356178209626,0.732397300733113,-3.04340487302118,-2.76680105833323,-0.116254748114339,8.61433572179127,2.28020234937055,-1.00540606039361,-0.56574514658115,-8.59197116853351,3.10166989949352,4.06677695030489,1.26731622057694,0.820634913097265,-1.3480692315844,-0.628584831864681,-1.00449278099506,-0.451900669649755,-0.972891030221094,0.418932348074871,0.139906351866629,0.45176435714661,0.472157326999862,0.464005646907641,0.164801029886671,-0.231275838722341,-0.24460287035566,-0.0153103630854697,-0.14781859941054,0.100367201325189,0.0532037134813214,0.214101807074433,-0.142759313850838,-0.106766201341586,-0.0998935826169309,0.251714241087126,0.0700225576565983,0.0343290756287533,0.0367465649922031,-0.0161622712463452,-0.00543196384139513,-0.204280653304765,0.0200539797930271,-0.0278556382713348,-0.00109301186288863,-1.29583843655467e-15,"1-phosphatidylinositol-3-kinase activity"
"5-methylcytosine catabolic process",-69.6061338388289,2.42736370410781,0.309890805325574,1.07459584281194,0.251441834406513,-3.35235798295949,-0.309564522672508,2.89985445005634,0.924781569056879,-3.46807877398046,1.08790148520785,-3.57679700719009,-0.876753314194414,1.75012426346494,0.408228764542661,-2.71165010199396,2.30715658343828,-2.514455659818,-2.92488374169082,-0.316440271389071,-9.9741149163088,-2.80124073109118,0.446684351313066,8.47428913332472,-5.13124380810784,0.679093017868077,36.8104263970582,-20.6068283718684,12.2204262833378,14.5722132018973,27.200184290147,-35.7600533564652,14.7609051503984,12.8749945243306,-9.05385624955822,-1.47647766970274,1.01783390800662,-8.04521438592617,-4.09397555146059,-0.068612373261563,-1.19384559742236,-0.504877336093712,-7.94705598825504,1.69594180069914,2.28523045972607,0.92943438254056,2.73763381753412,0.128865872713092,-0.828898166230366,0.503059381380888,-2.30647448808162,-0.163738993227771,-0.290094361871577,-1.03899917735028,-0.211369130932679,-0.264520811101233,-1.32758753653437,-1.58832182234926,0.712156517055813,-0.305346361724106,0.812468659065951,-0.495123249999296,-0.627630705619539,0.437541159394826,-0.224499509359464,-0.603643471671186,-0.13242136496589,-1.04602707218045,-0.0157090851017436,0.201541793964637,0.125233658919412,0.473843549637107,-0.977453447684058,-0.217107224857504,0.121678993221937,0.192159914249455,0.238345040723122,0.236243298647026,0.800773050283993,0.134261846389942,-0.293443464011781,0.18044269447412,0.251872330697095,0.696095297481148,0.197000582373512,0.0877789584655913,0.0605547235322807,-0.421540538684613,-0.474103211426984,-0.0875404581732633,-0.178180568177452,-0.0490275820035912,-0.331131416133739,-0.259805924966809,-0.540643042449062,0.396118094824846,-0.335733339394986,-0.957583378848766,1.45585818035642,0.225346314955161,0.466871612053146,-0.18617943204594,0.000606100046213425,0.213209912999137,0.41965311098568,-0.251581723248559,0.0278897535219606,0.0545368015853468,-0.105446458003441,0.050465541845493,-0.0354894849592282,-0.0341671009349081,0.0403604297381865,-0.0053155688894443,0.0183282862697473,0.00101397213861668,0.0432374565387162,-0.00545097758989237,0.00338174046836783,-0.0142793510991376,0.00845946212929663,-0.000418429755806953,-1.06180906081499e-13,"5-methylcytosine catabolic process"
"DNA biosynthetic process",-47.1746993050043,0.295576592963163,-4.23114959861233,0.55135562036479,-0.661210529283231,-4.28986975256989,1.44495421789703,-1.1345107708967,4.53579400799778,-0.791519914790209,3.06828134705153,-3.8807435981627,-3.45748403029122,-1.36319982753445,-0.781755831630643,-1.8091170243345,-5.6116852535109,4.21092843264781,2.49040326944468,-5.32679019157528,-1.80058554570141,-5.32548204523596,-0.386812870923265,-4.93632658799948,-3.15969705971281,0.41325710854686,-1.93632561486455,-1.59018097750892,-1.04822915016134,-7.21760801102657,-6.81058204957588,-8.0765379004581,-3.77097224299978,-2.40819575338512,-0.381809011145671,-1.09750770761833,-10.736307582499,-1.093702919415,0.958558007595019,-4.14545975309035,-5.44185936285346,-5.43513769879752,-6.19615793200051,0.70321536272028,2.15489066937136,-0.774310144015277,0.261372703260791,-1.54063084586916,1.23790883040363,0.669954832157351,-1.21052427714202,-1.07578215517753,1.70177214792279,-0.605017213342113,0.0219523462315373,2.35364114337012,-0.452491128796009,2.90518905600939,1.2654318895228,8.91256892940305,-0.326182908683995,-0.985285981587362,0.708180327961216,2.32199230933261,1.53863619681894,-3.53402462813429,-4.56948192264943,1.72599971746862,-2.1994253720832,4.47226711574647,-3.31360177055722,0.664506688039881,-1.30005347802079,1.20269006101848,1.05621961541902,-0.343350059363095,1.36626395523086,-1.77330449892409,-0.99258676114807,0.24061788642043,-5.11697167172937,2.62953142603455,-2.5191994930633,-1.8905073302782,9.64170078253396,3.5224000847887,-3.2414623186617,2.57632154846979,-0.761380722551691,-1.70536402135684,-1.33772471110693,0.525623922897675,-0.44214805710299,-1.71149433009037,-1.9229812575247,0.856493057404337,-0.265328373312591,3.53067400357546,0.305107668204227,4.31119104365225,0.913593737231811,-5.40701067599739,10.9797663543382,1.57830658335899,-9.29197982704641,1.46892892494533,-0.3908707578148,-1.10393863685877,-0.606509324666995,0.734227622397178,0.601394445866618,0.753569671273406,0.192538837934955,0.0219619078162856,-0.0324660724525754,-0.0532925087668243,0.0184699496186868,-0.0389409702796549,0.103703684425607,-0.0643354939279215,0.0598812829418318,-0.00150478125038744,-2.12008145414333e-14,"DNA biosynthetic process"
"DNA demethylation",-38.5908144545216,-4.19837858914791,4.45302827828475,3.41533799924232,7.49718712177222,-3.66693804566581,2.72248272718656,-5.92844500286622,5.93677097821297,-0.635623889103308,-9.31361700614605,-8.67044820196626,-0.376352678621122,0.564673348112886,-1.57054879303141,-2.88437095095553,-8.32785121058979,7.06670981967825,-10.7661728864995,-1.53799453773976,-18.9004486287811,-1.62322611162809,-10.2405070710218,22.9944752801823,3.47853448136597,-13.5863126503164,4.87398099383275,-3.99264520945034,4.14391673871182,5.41011472261405,-6.9038490810388,4.34853428033414,-1.01941300507631,1.50111494974398,-1.19146034297246,2.45006458910142,3.64922448801686,-1.33971557124456,-0.250506478500527,3.07391340009713,-2.7861589083827,1.49689047972856,2.32256957360972,0.616524001198953,-0.149787794408543,-0.929429770059788,3.05798951192732,3.67077539018886,-0.742462032536441,-0.626874857268797,-0.0786992074426955,-0.558641228701957,2.1055340272676,1.85715742150849,-0.309301679099149,3.26633827749491,0.946388474738105,-1.02625876093113,2.6995135664728,1.26246896292635,1.11643045543122,-0.860975412102191,-0.239123015901274,0.431057114909431,2.303171698739,0.263595195386905,1.70143365090477,1.17484535991011,-1.2385347257425,-2.70034882349689,1.6103027746282,-2.74512473636146,0.494161719923662,0.123317900988873,-0.255534011749822,0.440417669397251,0.704208855878156,-0.199134485715439,-1.99764055689435,-0.204868058016554,0.922301406002434,-1.60662460402661,0.0286011583490734,-1.06887757389402,-0.325235949757921,-0.269179863116903,0.734262583403963,2.25234182397098,2.86356963222139,0.261322515448742,4.05422821437184,-0.418207346216253,3.08513185519434,2.97678097561408,4.29404950447928,-3.13758004414492,2.68377150138473,7.20851909724876,-13.6596882358169,-2.50487925443349,-4.67493717346218,1.5060692409095,0.044027452509754,-1.65452810284041,-2.75090716501936,1.63584159893134,-0.688445194677465,-0.330943806751449,1.38240285105439,0.438897265093924,1.42497124737455,1.4039033175671,0.387998901475267,-0.0788109000466455,-0.0117645353957608,0.176455540886456,-0.0694073468954394,-0.118411591718037,-0.100281626304931,0.171870754922269,0.0199286909501741,-0.000417062208944656,1.84252298748161e-14,"DNA demethylation"
"DNA double-strand break processing",-42.2894180566715,-2.69286354374171,3.60321241711347,0.699867188660575,9.04862917988128,-4.76537120247407,5.42946142671301,-9.16207552448492,11.536661250672,-1.89394083901052,5.11874343286107,18.2901194113154,-0.177139726743418,2.62929691433436,6.73250093404501,-6.11131096977687,-4.01585428973622,2.53363669498015,7.4618925540701,6.80661336095494,1.12352812190418,2.379734318953,-3.12033766922057,0.737360777637241,-1.89202953438777,3.46541239712683,1.70644402030237,-1.12915731604237,0.64199771223001,1.12037294995681,-0.988792083409304,1.8827814989736,-0.641392479580663,-1.04525127411523,3.91562105891037,-2.36805108717799,1.83947577255979,-2.3914741060814,0.812079090310437,1.9133366601439,-0.984545995030753,-1.31739587882886,0.335363885852539,0.697626210274432,-0.185997290480643,-0.0692647750630184,-1.40281837544729,-3.4307104731148,-0.0390768049372648,-2.4825809438369,-2.50576538291294,-0.30676346009267,-0.718935014252813,1.3959349553139,-2.10249815141243,10.0885142145158,-0.721855492563271,1.8199974415953,6.20719260685211,1.0306548789702,-10.0810455387814,-3.93265095494926,-2.70668203159554,1.2025452584246,-12.2158738138007,4.92235078923163,4.95549414517457,-10.1062584681373,6.73185000621196,13.634434848306,-4.22086835214548,-17.5547014830902,3.56445002621985,6.04244819282243,2.02559720650961,7.76945233830102,-7.108335646102,2.57168341232274,2.65894635870885,-3.23407259480354,-6.50735248303154,-1.76290803546749,1.38790278176701,0.329539470125879,0.554189714694118,-1.53797173818809,2.97605924930089,-0.368333099272107,2.06903241136237,-3.29155205173302,-1.19223001057064,-0.0413572528345253,-1.37506834042516,3.97170736949058,1.13126778985162,-1.13408553725236,1.93614556144218,-1.51472056078093,0.184994824036106,0.534533870309313,-0.578843566599645,-0.509267055031517,-0.61936907470643,1.6145677794549,-0.203588834836864,-0.800561500630969,0.167478522167613,0.131286462624984,-0.244895477833661,0.432716625468964,0.135833718017971,-0.276699630995799,0.122369498981733,0.023503751624664,0.016859271106783,0.0324754837662574,0.183489343543711,0.0895610788381467,-0.0251391780071954,0.0134625381824792,0.0411327814117459,0.000460845493741847,-6.77834524620557e-14,"DNA double-strand break processing"
"DNA endonuclease activity",57.2366956651453,-0.0370762520032858,-1.77547810601506,3.03721495981005,0.433762563911188,-1.58857615259342,-4.76410384023547,-6.42964451047692,4.32361417377905,3.7563406015621,-3.00754163033388,-4.66282399365464,1.25559240254372,0.977054920120504,4.82340311872082,1.63123551308604,-3.23261612234753,0.821506735296473,-0.263532501557138,2.03937085162662,-4.42317340234719,-5.24840782963934,-4.34410382844211,4.38108350894922,-1.2612553162078,-9.58187936464627,-5.89495087119929,-4.87885793128027,-0.988965607403267,-2.00897835631414,-6.65062233709182,-1.55205640917364,-1.54213188287012,1.8191155483508,-4.7965800676202,2.55484218799913,6.38048393538589,-8.10034223375905,-3.06142449946672,10.0720786943223,0.984079706111001,8.08891467504813,7.47621476031121,-1.67122303086875,-0.343387261789463,-1.45874795711616,0.842440848701887,2.45392108516804,-5.46547600217323,-1.99963867851315,-0.538942197859919,1.16899585389334,-2.5222027411647,-1.3246457032397,0.0510306402111568,8.04277603198418,-1.63393765091626,1.13897967435797,4.80244404878725,0.335970970983356,3.29406934012112,-4.29424135605853,3.48830310734369,-1.32535899964011,-0.262945656945779,2.95156251259776,5.13785691363127,0.693068015120432,-8.3251986940043,-1.59944681698281,4.34898943027575,-0.982809319658501,1.5935676600922,-1.75099814449665,1.32956630513102,-0.695726634028903,-1.11903825587616,-2.98399310978763,5.2288983657827,9.20214439897055,3.10259161715506,-14.9070753267826,3.1326393249823,7.40980366158787,4.114265873904,0.828800210696347,-0.494373631067335,1.32556049478233,-3.3747413577271,-3.52213734746961,4.32446403391828,-1.30157690588383,6.44406027300098,1.31624437893455,-2.96979528003858,2.83583035649123,-1.27388611774531,-2.91470817103498,4.83250623298291,1.46334173451518,0.720386964712659,-1.26068203998576,-0.505979733296608,1.63381594925131,-1.95547502969022,1.11787040310956,-0.726054340798069,-0.470976488912285,0.678213419459409,1.04714786143172,-0.0158024003881744,-0.615765772485136,-0.773067448198141,0.106765258976606,-0.138307184003853,-0.256018106272688,0.00589486508457928,-0.000285509844460361,0.0290791614080731,-0.183276709610359,-0.100723486376003,-0.00348937107580431,-4.05463423253094e-14,"DNA endonuclease activity"
"DNA metabolic process",23.045216182497,-0.151167496853294,-17.6127751023738,-2.96791850616325,-10.7296054124943,-3.94435879859461,-5.8046033347291,-3.58523303993066,7.29382699756926,6.14860470110825,12.7910008191386,-3.09469183989951,-9.13451430578283,-4.05961462875528,4.7262130074923,-4.38827331554757,-5.8266481113523,4.67127220983053,-2.84701237967273,1.95839160678807,-6.43488012352329,7.74676727892631,9.87940501369134,-1.97797800093278,3.1420102866767,10.9974042057393,-4.03201355429964,-7.39409080146364,-3.62189484640515,2.9885793922854,2.77215289433441,-3.08900930249496,-7.97732897814762,-0.916142013310539,9.71621321426551,-14.6747546950148,-1.04009527205859,14.5697964227199,-15.1696189489527,8.58627073237661,1.32998181374272,-6.29707939234485,15.0000080175458,3.67637802142932,29.7200626422933,3.2480568047868,11.512540191328,3.24194165705745,-0.299003303949559,19.4613212693108,-5.52516757926784,13.4535326480731,3.11238286351338,1.80161181161631,-1.02474935270054,2.67883563184779,1.59355238892315,-3.91731244051132,3.54575312315526,0.422946333663373,-2.52690091913054,-1.22120384713712,-0.500154416810706,-0.254010261106123,0.559437292483669,-0.540604818020531,-2.2582583399168,0.311071959656474,-1.46192192606119,0.0637561454955321,2.38133295128511,0.821663677025514,-0.153185866719778,-0.822537608804064,-0.260770694763937,-0.440323416475197,1.06178419937361,1.81838121323209,-0.484851033155978,-0.790796722044784,1.07725485824239,-1.06520646317967,0.457209581648817,-1.47188859205595,0.0558449138821678,-0.256860425627339,0.616848492171765,-0.523716138089826,-0.132206684114236,0.112853831641977,-0.526191013880729,-0.311769801710122,-0.310938717523732,0.703175163607133,0.446363187151547,0.0972276678057959,-0.298912151594984,-0.0767388953030977,0.0794472751109941,-0.30588061327387,0.0332843972747913,-0.0215118294640996,-0.155829841249169,0.173257913170679,0.381536450146098,0.323191509235984,-0.270113767759492,-0.024595999386724,-0.0144965998143534,0.020779266986424,0.0627268039032656,0.377983375773424,0.0135508459183441,-0.0460661447272543,0.0141164681567613,-0.00628710070860979,0.0161045956357645,-0.0140005168446505,0.0471050720165031,-0.0402016996093217,0.0161007894776869,0.000947318755435874,-1.09779806772847e-14,"DNA metabolic process"
"DNA methylation",49.2463416532424,3.92338750911465,15.588289217073,6.22544227418701,11.3613438463804,-0.633882069608527,6.41720220096517,0.217554989983204,0.641875624384316,-4.92439489718739,-11.0070527355102,-1.12907981067276,9.20516825152692,3.15331390724083,-6.07470843160254,0.820110624434995,4.78035327645322,-3.85932614871189,2.43260292284024,-3.87424667930003,7.14266097826186,-4.36442243748784,0.275560139989279,-1.78315480535146,-7.75102519396156,-7.00838990020519,1.06833771646366,-4.77839080317957,-1.7998007869592,-8.46637241504471,2.91078593843188,-5.53030974079925,5.76740273825019,-2.27941003658342,-1.15353598541674,9.54864807627141,-0.772146628451968,-6.59774597329106,19.2898087096899,-2.65691051102698,26.9609314470092,-12.6193339542566,22.6666842645236,-11.7309825630702,8.95953420580982,5.45682491866468,2.20336350822468,12.0503802386277,6.78072827252198,7.34153086098321,-1.08505211109946,-15.11304306364,3.4997499621538,5.20773979707845,-3.6058565951284,-3.37266837363286,6.78615090628757,2.08926139917911,-4.37882018838763,1.02665592746883,-0.116834113137082,-3.14478603455095,-0.988173955138043,1.36700652955833,2.31875434270195,1.12017035302654,1.23982881059439,-4.18625592584722,-1.26983118663269,2.14989409271595,-0.528271220505118,-0.191438527811686,-3.78717090886555,1.8452863314441,0.802086822297506,-0.0237098473725259,-0.28464177801478,0.265905599971996,0.831104958528816,-2.21780035397224,-1.54099596371546,0.735766789794696,1.20165506575331,-0.292718625335443,-0.571624711732237,1.04522589793117,0.115279984477307,0.406556231282006,-1.2831367315312,0.782232207873205,0.289467476997195,1.10286091984433,0.894774571138195,-0.499832738963409,-0.338312102864174,1.06945361456299,-0.706337825973412,-0.224295409980439,-0.591857138691114,0.221093653399629,-0.686850809905716,0.100902267869824,0.0594226379103544,1.05886189335584,0.0324991880030841,-0.555247451633558,-0.979430641869173,-0.211752770890494,0.1312509489546,0.863823996472292,1.09013999491783,0.666959580610664,0.172461861182415,0.19971578658401,-0.300350380163085,-0.0749101057890114,0.0111305992370007,0.0591438434405228,0.0753652063764675,0.0368538254755383,-0.0241499364830037,-0.000217223673621969,7.70065435029554e-15,"DNA methylation"
"DNA repair",2.35668728310018,0.524988146585103,-2.09365115899102,1.44957266568537,-0.218771491333391,-2.1133064343665,0.111183432076932,-1.88723327167315,3.14819896066418,0.0280267413906458,0.898470079609806,0.610606894630307,0.275579242759376,-0.702394305269025,0.599650921926675,-0.198393894632396,-1.88757392166261,1.72209130606553,1.11074627851506,-1.21883383998861,-0.734729071747335,-0.126312305558847,1.52174965288704,-0.227115467277339,-0.0975233366769826,-2.19732524111208,-1.89535802610067,-0.267582800186044,-0.955154476545156,-0.777235411011233,-0.457998133871486,-1.8433628938103,0.0380107008195028,-0.403751001151432,-0.525872420078709,1.39079513891401,-0.844269132252229,0.459898648280947,-0.14674368289842,0.79663279112706,2.73215367699848,-0.0496863734588685,0.988657131492097,0.00977003834836652,0.316208596261423,0.11589087631114,-0.833769238150375,-0.166651719707104,-1.11246965009853,-0.401620604042215,0.264856196414282,-0.333815028754315,-0.982538247060185,-1.03260683160358,0.891301117862346,-0.0181133028741017,-1.66232389538613,1.26130801980444,-0.364711361864907,-1.14518753848775,1.33310446764391,1.09959623143634,-0.750245661681545,-1.51365953396586,-0.123980259710182,0.700348966947971,1.51085053056153,0.423423563762916,-0.397361790381375,-0.505677099112973,0.733515627746095,0.0160397761981205,0.287478514473652,-1.19407077843471,0.501238932262218,-0.36672798778334,0.432850466697438,-0.868135589298679,-0.34225580195077,1.33344802467866,1.47747447088196,-1.56567402560703,-0.138185443700846,0.388041795293206,0.00692069784996209,-0.614829416777614,0.46231610540969,-0.686062903860005,-0.285417193606545,-0.698410043515436,-1.24271361221293,-1.2944842682685,-0.0525503241344219,0.207755456978683,1.10848670323039,-2.29042367106547,-0.0231912936025437,0.398096658605795,1.26518970033984,0.149907929659791,-0.0249215593764342,0.844044207620516,0.58859225120031,-1.83676854606521,-2.22648404381078,-3.95310219469695,-0.0936442727237145,0.907427316621479,0.0362428268555321,-4.68064944224979,1.47966395833602,-3.25257521861805,11.5504729809563,0.795330969341913,0.842486460752856,-0.294444898453042,1.53717299929262,0.2236748031573,0.554129736726737,-0.0611702718324221,0.000244010072640263,0.0214363311518111,-2.02729543222202e-14,"DNA repair"
"DNA replication",-8.76618056427134,3.51599964542123,-7.83162812138118,-0.15242717269472,-5.69698898926113,-2.56301540875486,-0.0759925003236965,3.25511245977164,1.59114981269639,0.190498113718549,7.40956383822978,-1.70820646279027,-3.69879875367987,-1.14274344769768,0.530822268872422,-1.65101230816963,-3.62798822895717,3.71366599886516,2.44939228129696,-2.6363496952836,-0.830626994727072,-3.25561813498619,2.19094243780305,0.0412980627877142,-1.5337455531617,0.335251996308962,-1.00090774520084,-1.3257026256445,-0.453796042159774,-4.15478765114482,-3.40492066485494,-4.56236669948717,-2.19199580080478,-1.94058454709761,2.1832601357341,-1.30439860224148,-5.41088953830242,1.73827830869686,0.777290773129676,-2.60166226510669,2.83864210469525,-3.68957534225838,-2.04171168411305,1.67042852678998,-2.2489197762284,-0.24535899461644,2.26380631552049,-0.29763734666873,0.552685004518442,-2.76176546759639,0.778280719064813,-2.38312660136094,-1.87950416493947,-1.22107616394479,0.521938731483462,3.29060687230016,0.151419891038506,-3.38649090275054,0.619511587494283,1.17076077361788,2.23717790600701,-0.250192247968965,0.47666607801805,1.01972860026508,0.411573870285832,-0.222410302651877,-1.02761040217515,0.527394795761977,1.03730674572011,0.101053183620835,0.668431623913386,-0.538481249874897,-0.408612392808501,-1.56689481628622,-0.0908217294519462,0.0143500129244941,0.646888894825604,-0.931972115322534,0.265361899343438,0.542993849938285,1.23936440412696,-1.16046041405665,0.0563341124709358,0.427088288374639,-2.5900946163827,-0.607674677336919,1.78986300023511,-0.838695094104456,0.743004026927208,-0.72264412795268,-2.01902348409909,0.141417584610638,-1.70209091813675,-1.37057815160529,-0.0487459026635846,-1.15509558668959,1.46611035937677,0.878497045803887,1.80516565426216,-0.708920821994286,0.151088885377847,0.495338227299355,0.114093214320828,-1.68072908950144,-1.92921272681532,-7.96679640179861,-0.875301677605033,-0.662777847805926,13.3500008452065,-1.04376330967785,0.272218125698456,-0.081362722834587,-2.77582337235375,0.214772567472692,0.121208628296389,0.212945156125954,-0.0998745224590301,-0.193508233011507,0.19683906681279,0.0516324380835473,0.000158601495287547,-0.00201549625522769,-1.26475978128038e-14,"DNA replication"
