"Gene","Cancer_type","Pathway","new"
"A1CF","CHOL","cytidine to uridine editing","A1CF CHOL"
"A1CF","UCEC","cytidine to uridine editing","A1CF UCEC"
"A1CF","LUSC","cytidine to uridine editing","A1CF LUSC"
"A1CF","UCS","cytidine to uridine editing","A1CF UCS"
"A1CF","PRAD","cytidine to uridine editing","A1CF PRAD"
"A1CF","GBM","cytidine to uridine editing","A1CF GBM"
"A1CF","PANCAN","cytidine to uridine editing","A1CF PANCAN"
"A1CF","LUAD","cytidine to uridine editing","A1CF LUAD"
"A1CF","COAD","cytidine to uridine editing","A1CF COAD"
"A1CF","HNSC","cytidine to uridine editing","A1CF HNSC"
"A1CF","STAD","cytidine to uridine editing","A1CF STAD"
"A1CF","CESC","cytidine to uridine editing","A1CF CESC"
"A1CF","BLCA","cytidine to uridine editing","A1CF BLCA"
"A1CF","LIHC","cytidine to uridine editing","A1CF LIHC"
"A1CF","SKCM","cytidine to uridine editing","A1CF SKCM"
"ABCA7","KIRP","amyloid-beta clearance by cellular catabolic process","ABCA7 KIRP"
"ABCB1","BLCA","xenobiotic metabolic process","ABCB1 BLCA"
"ABCB1","PRAD","xenobiotic metabolic process","ABCB1 PRAD"
"ABCC4","SARC","xenobiotic metabolic process","ABCC4 SARC"
"ABCC5","HNSC","hyaluronan biosynthetic process","ABCC5 HNSC"
"ABL1","KICH","peptidyl-tyrosine autophosphorylation","ABL1 KICH"
"ABL1","ESCA","peptidyl-tyrosine autophosphorylation","ABL1 ESCA"
"ABL1","LUSC","peptidyl-tyrosine autophosphorylation","ABL1 LUSC"
"ABL1","STAD","peptidyl-tyrosine autophosphorylation","ABL1 STAD"
"ABL1","DLBC","peptidyl-tyrosine autophosphorylation","ABL1 DLBC"
"ABL1","SKCM","peptidyl-tyrosine autophosphorylation","ABL1 SKCM"
"ABL1","KIRC","peptidyl-tyrosine autophosphorylation","ABL1 KIRC"
"ABL1","READ","peptidyl-tyrosine autophosphorylation","ABL1 READ"
"ABL1","UCS","peptidyl-tyrosine autophosphorylation","ABL1 UCS"
"ABL1","COAD","peptidyl-tyrosine autophosphorylation","ABL1 COAD"
"ABL1","LUAD","peptidyl-tyrosine autophosphorylation","ABL1 LUAD"
"ABL1","PANCAN","peptidyl-tyrosine autophosphorylation","ABL1 PANCAN"
"ABL1","SARC","peptidyl-tyrosine autophosphorylation","ABL1 SARC"
"ABL1","CLLE","peptidyl-tyrosine autophosphorylation","ABL1 CLLE"
"ABL1","PRAD","peptidyl-tyrosine autophosphorylation","ABL1 PRAD"
"ABL1","BRCA","peptidyl-tyrosine autophosphorylation","ABL1 BRCA"
"ABL1","HNSC","peptidyl-tyrosine autophosphorylation","ABL1 HNSC"
"ABL1","KIRP","peptidyl-tyrosine autophosphorylation","ABL1 KIRP"
"ABL1","UCEC","peptidyl-tyrosine autophosphorylation","ABL1 UCEC"
"ABL1","CESC","peptidyl-tyrosine autophosphorylation","ABL1 CESC"
"ABL1","LAML","peptidyl-tyrosine autophosphorylation","ABL1 LAML"
"ABL1","BLCA","peptidyl-tyrosine autophosphorylation","ABL1 BLCA"
"ABL1","PAAD","peptidyl-tyrosine autophosphorylation","ABL1 PAAD"
"ABL2","SKCM","peptidyl-tyrosine phosphorylation","ABL2 SKCM"
"ABL2","HNSC","peptidyl-tyrosine phosphorylation","ABL2 HNSC"
"ABL2","OV","peptidyl-tyrosine phosphorylation","ABL2 OV"
"ABL2","BLCA","peptidyl-tyrosine phosphorylation","ABL2 BLCA"
"ABL2","LUSC","peptidyl-tyrosine phosphorylation","ABL2 LUSC"
"ABL2","READ","peptidyl-tyrosine phosphorylation","ABL2 READ"
"ABL2","UCEC","peptidyl-tyrosine phosphorylation","ABL2 UCEC"
"ABL2","CESC","peptidyl-tyrosine phosphorylation","ABL2 CESC"
"ABL2","STAD","peptidyl-tyrosine phosphorylation","ABL2 STAD"
"ABL2","PANCAN","peptidyl-tyrosine phosphorylation","ABL2 PANCAN"
"ABL2","UCS","peptidyl-tyrosine phosphorylation","ABL2 UCS"
"ABL2","BRCA","peptidyl-tyrosine phosphorylation","ABL2 BRCA"
"ABL2","LUAD","peptidyl-tyrosine phosphorylation","ABL2 LUAD"
"ABL2","GBM","peptidyl-tyrosine phosphorylation","ABL2 GBM"
"ABL2","KIRC","peptidyl-tyrosine phosphorylation","ABL2 KIRC"
"ABL2","COAD","peptidyl-tyrosine phosphorylation","ABL2 COAD"
"ABL2","KIRP","peptidyl-tyrosine phosphorylation","ABL2 KIRP"
"ACO1","COAD","citrate metabolic process","ACO1 COAD"
"ACSL3","UCEC","palmitoyl-CoA ligase activity","ACSL3 UCEC"
"ACSL3","PRAD","palmitoyl-CoA ligase activity","ACSL3 PRAD"
"ACSL3","CESC","palmitoyl-CoA ligase activity","ACSL3 CESC"
"ACSL3","SKCM","palmitoyl-CoA ligase activity","ACSL3 SKCM"
"ACSL3","CHOL","palmitoyl-CoA ligase activity","ACSL3 CHOL"
"ACSL3","DLBC","palmitoyl-CoA ligase activity","ACSL3 DLBC"
"ACSL3","ESCA","palmitoyl-CoA ligase activity","ACSL3 ESCA"
"ACSL3","STAD","palmitoyl-CoA ligase activity","ACSL3 STAD"
"ACSL3","READ","palmitoyl-CoA ligase activity","ACSL3 READ"
"ACSL3","COAD","palmitoyl-CoA ligase activity","ACSL3 COAD"
"ACSL3","LAML","palmitoyl-CoA ligase activity","ACSL3 LAML"
"ACSL6","SKCM","long-chain fatty acid metabolic process","ACSL6 SKCM"
"ACSL6","CESC","long-chain fatty acid metabolic process","ACSL6 CESC"
"ACSL6","LIHC","long-chain fatty acid metabolic process","ACSL6 LIHC"
"ACSL6","COAD","long-chain fatty acid metabolic process","ACSL6 COAD"
"ACSL6","PANCAN","long-chain fatty acid metabolic process","ACSL6 PANCAN"
"ACSL6","LUAD","long-chain fatty acid metabolic process","ACSL6 LUAD"
"ACSL6","READ","long-chain fatty acid metabolic process","ACSL6 READ"
"ACSL6","UCEC","long-chain fatty acid metabolic process","ACSL6 UCEC"
"ACSL6","SARC","long-chain fatty acid metabolic process","ACSL6 SARC"
"ACSL6","STAD","long-chain fatty acid metabolic process","ACSL6 STAD"
"ACSL6","BLCA","long-chain fatty acid metabolic process","ACSL6 BLCA"
"ACSL6","LUSC","long-chain fatty acid metabolic process","ACSL6 LUSC"
"ACSM2A","KIRP","acyl-CoA metabolic process","ACSM2A KIRP"
"ACSM3","GBM","fatty acid biosynthetic process","ACSM3 GBM"
"ACVR1","UCS","phosphorylation","ACVR1 UCS"
"ACVR1","SKCM","phosphorylation","ACVR1 SKCM"
"ACVR1","GBM","phosphorylation","ACVR1 GBM"
"ACVR1","BLCA","phosphorylation","ACVR1 BLCA"
"ACVR1","LUAD","phosphorylation","ACVR1 LUAD"
"ACVR1","STAD","phosphorylation","ACVR1 STAD"
"ACVR1","COAD","phosphorylation","ACVR1 COAD"
"ACVR1","LUSC","phosphorylation","ACVR1 LUSC"
