"X","Cancer_type","Pathway","Gene"
1,"BLCA","Retinol Metabolism","ADH1A"
2,"BLCA","Retinol Metabolism","RDH12"
3,"BLCA","Retinol Metabolism","DHRS4"
4,"BLCA","Retinol Metabolism","RDH16"
5,"BLCA","Retinol Metabolism","RDH8"
6,"BLCA","Retinol Metabolism","DHRS3"
7,"BLCA","Retinol Metabolism","DHRS9"
8,"BLCA","Retinol Metabolism","RDH11"
9,"BLCA","Retinol Metabolism","LRAT"
10,"BLCA","Retinol Metabolism","AWAT1"
11,"BLCA","Retinol Metabolism","DGAT1"
12,"BLCA","Retinol Metabolism","RPE65"
13,"BLCA","Retinol Metabolism","PNPLA4"
14,"BLCA","Retinol Metabolism","BCMO1"
15,"BLCA","Retinol Metabolism","ALDH1A1"
16,"BLCA","Retinol Metabolism","ALDH1A2"
17,"BLCA","Retinol Metabolism","CYP26A1"
18,"BLCA","Retinol Metabolism","RETSAT"
19,"BLCA","Retinol Metabolism","DNAJB11"
20,"BLCA","Retinol Metabolism","HSP90B1 "
21,"BLCA","Retinol Metabolism","HSPA5"
22,"BLCA","Retinol Metabolism","HYOU1 "
23,"BLCA","Retinol Metabolism","PDIA2"
24,"BLCA","Retinol Metabolism","PDIA4"
25,"BLCA","Retinol Metabolism","PDIA6"
26,"BLCA","Retinol Metabolism","PPIB"
27,"BLCA","Retinol Metabolism","SDF2L1"
28,"BLCA","Retinol Metabolism","UGT1A1"
29,"BLCA","Retinol Metabolism","ERP29"
30,"BLCA","Retinol Metabolism","CYP2A6"
31,"BLCA","Retinol Metabolism","CYP2A7"
32,"BLCA","Retinol Metabolism","CYP2A13"
33,"BLCA","Retinol Metabolism","CYP2B6"
34,"BLCA","Retinol Metabolism","CYP3A7"
35,"BLCA","Retinol Metabolism","CYP3A4"
36,"BLCA","Retinol Metabolism","CYP3A5"
37,"BLCA","Retinol Metabolism","CYP3A43"
38,"BLCA","Purine Metabolism","NUDT2"
39,"BLCA","Purine Metabolism","NME6"
40,"BLCA","Purine Metabolism","ENTPD5"
41,"BLCA","Purine Metabolism","ENTPD8"
42,"BLCA","Purine Metabolism","GUK1"
43,"BLCA","Purine Metabolism","NT5C2"
44,"BLCA","Purine Metabolism","DGUOK"
45,"BLCA","Purine Metabolism","APRT"
46,"BLCA","Purine Metabolism","PNP"
47,"BLCA","Purine Metabolism","HPRT1"
48,"BLCA","Purine Metabolism","GDA"
49,"BLCA","Purine Metabolism","NUDT5"
50,"BLCA","Purine Metabolism","PRPS1L1"
51,"BLCA","Purine Metabolism","PPAT"
52,"BLCA","Purine Metabolism","GART"
53,"BLCA","Purine Metabolism","PFAS"
54,"BLCA","Purine Metabolism","PAICS"
55,"BLCA","Purine Metabolism","ADSL"
56,"BLCA","Purine Metabolism","ATIC"
57,"BLCA","Purine Metabolism","ITPA"
58,"BLCA","Purine Metabolism","GMPS"
59,"BLCA","Purine Metabolism","IMPDH1"
60,"BLCA","Purine Metabolism","GMPR"
61,"BLCA","Purine Metabolism","XDH"
62,"BLCA","Purine Metabolism","ADSS"
63,"BLCA","Purine Metabolism","AMPD1"
64,"BLCA","Purine Metabolism","ADA"
65,"BLCA","Purine Metabolism","AK1"
66,"BLCA","Purine Metabolism","ATAD1"
67,"BLCA","Purine Metabolism","PDE4D"
68,"BLCA","Purine Metabolism","ADCY10"
69,"BLCA","Purine Metabolism","GUCY1A2"
70,"BLCA","Purine Metabolism","GUCY1B3"
71,"BLCA","Purine Metabolism","PDE10A"
72,"BLCA","Purine Metabolism","TXN"
73,"BLCA","Purine Metabolism","RRM1"
74,"BLCA","Purine Metabolism","RRM2"
75,"BLCA","Purine Metabolism","HPRT1"
76,"BLCA","Purine Metabolism","IMPDH1"
77,"BLCA","Purine Metabolism","GMPS"
78,"BLCA","Purine Metabolism","TPMT"
79,"BLCA","Purine Metabolism","RAC1"
80,"BLCA","Purine Metabolism","AOX1"
81,"BLCA","Purine Metabolism","PPAT"
82,"BLCA","Purine Metabolism","SLC29A2"
83,"BLCA","Purine Metabolism","SLC28A3"
84,"BLCA","Purine Metabolism","SLC29A1"
85,"BLCA","Purine Metabolism","SLC28A2"
86,"BLCA","Purine Metabolism","ABCC5"
