"","CancerType","Pathway","Gene"
"1","ACYC","Phosphatidylinositol Phosphate Metabolism","CDIPT"
"2","ACYC","Phosphatidylinositol Phosphate Metabolism","SYNJ1"
"3","ACYC","Phosphatidylinositol Phosphate Metabolism","PIK3CA"
"4","ACYC","Phosphatidylinositol Phosphate Metabolism","PIK3R1"
"5","ACYC","Phosphatidylinositol Phosphate Metabolism","PIK3C3"
"6","ACYC","Phosphatidylinositol Phosphate Metabolism","PIK3R4"
"7","ACYC","Phosphatidylinositol Phosphate Metabolism","AMBRA1"
"8","ACYC","Phosphatidylinositol Phosphate Metabolism","PIKFYVE"
"9","ACYC","Phosphatidylinositol Phosphate Metabolism","FIG4"
"10","ACYC","Phosphatidylinositol Phosphate Metabolism","VAC14"
"11","ACYC","Phosphatidylinositol Phosphate Metabolism","PIP5K1A"
"12","ACYC","Phosphatidylinositol Phosphate Metabolism","INPP4B"
"13","ACYC","Phosphatidylinositol Phosphate Metabolism","PIP4K2A"
"14","ACYC","Phosphatidylinositol Phosphate Metabolism","INPP5D"
"15","ACYC","Phosphatidylinositol Phosphate Metabolism","INPP5E"
"16","ACYC","Phosphatidylinositol Phosphate Metabolism","PI4KA"
"17","ACYC","Phosphatidylinositol Phosphate Metabolism","PIK3C2A"
"18","ACYC","Phosphatidylinositol Phosphate Metabolism","ERBB2"
"19","ACYC","Phosphatidylinositol Phosphate Metabolism","PIK3CD"
"20","ACYC","Phosphatidylinositol Phosphate Metabolism","PTEN"
"21","ACYC","Phosphatidylinositol Phosphate Metabolism","PLCB1"
"22","ACYC","Phosphatidylinositol Phosphate Metabolism","CDIPT"
"23","ACYC","Phosphatidylinositol Phosphate Metabolism","SYNJ1"
"24","ACYC","Phosphatidylinositol Phosphate Metabolism","PIK3CA"
"25","ACYC","Phosphatidylinositol Phosphate Metabolism","PIK3R1"
"26","ACYC","Phosphatidylinositol Phosphate Metabolism","PIK3C3"
"27","ACYC","Phosphatidylinositol Phosphate Metabolism","PIK3R4"
"28","ACYC","Phosphatidylinositol Phosphate Metabolism","AMBRA1"
"29","ACYC","Phosphatidylinositol Phosphate Metabolism","PIKFYVE"
"30","ACYC","Phosphatidylinositol Phosphate Metabolism","FIG4"
"31","ACYC","Phosphatidylinositol Phosphate Metabolism","VAC14"
"32","ACYC","Phosphatidylinositol Phosphate Metabolism","PIP5K1A"
"33","ACYC","Phosphatidylinositol Phosphate Metabolism","INPP4B"
"34","ACYC","Phosphatidylinositol Phosphate Metabolism","PIP4K2A"
"35","ACYC","Phosphatidylinositol Phosphate Metabolism","INPP5D"
"36","ACYC","Phosphatidylinositol Phosphate Metabolism","INPP5E"
"37","ACYC","Phosphatidylinositol Phosphate Metabolism","PI4KA"
"38","ACYC","Phosphatidylinositol Phosphate Metabolism","PIK3C2A"
"39","ACYC","Phosphatidylinositol Phosphate Metabolism","ERBB2"
"40","ACYC","Phosphatidylinositol Phosphate Metabolism","PIK3CD"
"41","ACYC","Phosphatidylinositol Phosphate Metabolism","PTEN"
"42","ACYC","Phosphatidylinositol Phosphate Metabolism","PLCB1"
"43","ANSC","Phosphatidylinositol Phosphate Metabolism","CDIPT"
"44","ANSC","Phosphatidylinositol Phosphate Metabolism","SYNJ1"
"45","ANSC","Phosphatidylinositol Phosphate Metabolism","PIK3CA"
"46","ANSC","Phosphatidylinositol Phosphate Metabolism","PIK3R1"
"47","ANSC","Phosphatidylinositol Phosphate Metabolism","PIK3C3"
"48","ANSC","Phosphatidylinositol Phosphate Metabolism","PIK3R4"
"49","ANSC","Phosphatidylinositol Phosphate Metabolism","AMBRA1"
"50","ANSC","Phosphatidylinositol Phosphate Metabolism","PIKFYVE"
"51","ANSC","Phosphatidylinositol Phosphate Metabolism","FIG4"
"52","ANSC","Phosphatidylinositol Phosphate Metabolism","VAC14"
"53","ANSC","Phosphatidylinositol Phosphate Metabolism","PIP5K1A"
"54","ANSC","Phosphatidylinositol Phosphate Metabolism","INPP4B"
"55","ANSC","Phosphatidylinositol Phosphate Metabolism","PIP4K2A"
"56","ANSC","Phosphatidylinositol Phosphate Metabolism","INPP5D"
"57","ANSC","Phosphatidylinositol Phosphate Metabolism","INPP5E"
"58","ANSC","Phosphatidylinositol Phosphate Metabolism","PI4KA"
"59","ANSC","Phosphatidylinositol Phosphate Metabolism","PIK3C2A"
"60","ANSC","Phosphatidylinositol Phosphate Metabolism","ERBB2"
"61","ANSC","Phosphatidylinositol Phosphate Metabolism","PIK3CD"
"62","ANSC","Phosphatidylinositol Phosphate Metabolism","PTEN"
"63","ANSC","Phosphatidylinositol Phosphate Metabolism","PLCB1"
"64","ANSC","Phosphatidylinositol Phosphate Metabolism","CDIPT"
"65","ANSC","Phosphatidylinositol Phosphate Metabolism","SYNJ1"
"66","ANSC","Phosphatidylinositol Phosphate Metabolism","PIK3CA"
"67","ANSC","Phosphatidylinositol Phosphate Metabolism","PIK3R1"
"68","ANSC","Phosphatidylinositol Phosphate Metabolism","PIK3C3"
"69","ANSC","Phosphatidylinositol Phosphate Metabolism","PIK3R4"
"70","ANSC","Phosphatidylinositol Phosphate Metabolism","AMBRA1"
"71","ANSC","Phosphatidylinositol Phosphate Metabolism","PIKFYVE"
"72","ANSC","Phosphatidylinositol Phosphate Metabolism","FIG4"
"73","ANSC","Phosphatidylinositol Phosphate Metabolism","VAC14"
"74","ANSC","Phosphatidylinositol Phosphate Metabolism","PIP5K1A"
"75","ANSC","Phosphatidylinositol Phosphate Metabolism","INPP4B"
"76","ANSC","Phosphatidylinositol Phosphate Metabolism","PIP4K2A"
"77","ANSC","Phosphatidylinositol Phosphate Metabolism","INPP5D"
"78","ANSC","Phosphatidylinositol Phosphate Metabolism","INPP5E"
"79","ANSC","Phosphatidylinositol Phosphate Metabolism","PI4KA"
"80","ANSC","Phosphatidylinositol Phosphate Metabolism","PIK3C2A"
"81","ANSC","Phosphatidylinositol Phosphate Metabolism","ERBB2"
"82","ANSC","Phosphatidylinositol Phosphate Metabolism","PIK3CD"
"83","ANSC","Phosphatidylinositol Phosphate Metabolism","PTEN"
"84","ANSC","Phosphatidylinositol Phosphate Metabolism","PLCB1"
"85","BCC","Nucleotide Excision Repair ","ERCC2"
"86","BCC","Nucleotide Excision Repair ","POLR1A"
"87","BCC","Nucleotide Excision Repair ","ERCC4"
"88","BCC","Nucleotide Excision Repair ","PAPD7"
"89","BCC","Nucleotide Excision Repair ","POLE"
"90","BCC","Nucleotide Excision Repair ","LIG1"
"91","BCC","Nucleotide Excision Repair ","ERCC2"
"92","BCC","Nucleotide Excision Repair ","POLR1A"
"93","BCC","Nucleotide Excision Repair ","ERCC4"
"94","BCC","Nucleotide Excision Repair ","PAPD7"
"95","BCC","Nucleotide Excision Repair ","POLE"
"96","BCC","Nucleotide Excision Repair ","LIG1"
"97","BLCA","Nucleotide Excision Repair ","ERCC2"
"98","BLCA","Nucleotide Excision Repair ","POLR1A"
"99","BLCA","Nucleotide Excision Repair ","ERCC4"
"100","BLCA","Nucleotide Excision Repair ","PAPD7"
"101","BLCA","Nucleotide Excision Repair ","POLE"
"102","BLCA","Nucleotide Excision Repair ","LIG1"
"103","BLCA","Nucleotide Excision Repair ","ERCC2"
"104","BLCA","Nucleotide Excision Repair ","POLR1A"
"105","BLCA","Nucleotide Excision Repair ","ERCC4"
"106","BLCA","Nucleotide Excision Repair ","PAPD7"
"107","BLCA","Nucleotide Excision Repair ","POLE"
"108","BLCA","Nucleotide Excision Repair ","LIG1"
"109","BLCA","Phosphatidylinositol Phosphate Metabolism","CDIPT"
"110","BLCA","Phosphatidylinositol Phosphate Metabolism","SYNJ1"
"111","BLCA","Phosphatidylinositol Phosphate Metabolism","PIK3CA"
"112","BLCA","Phosphatidylinositol Phosphate Metabolism","PIK3R1"
"113","BLCA","Phosphatidylinositol Phosphate Metabolism","PIK3C3"
"114","BLCA","Phosphatidylinositol Phosphate Metabolism","PIK3R4"
"115","BLCA","Phosphatidylinositol Phosphate Metabolism","AMBRA1"
"116","BLCA","Phosphatidylinositol Phosphate Metabolism","PIKFYVE"
"117","BLCA","Phosphatidylinositol Phosphate Metabolism","FIG4"
"118","BLCA","Phosphatidylinositol Phosphate Metabolism","VAC14"
"119","BLCA","Phosphatidylinositol Phosphate Metabolism","PIP5K1A"
"120","BLCA","Phosphatidylinositol Phosphate Metabolism","INPP4B"
"121","BLCA","Phosphatidylinositol Phosphate Metabolism","PIP4K2A"
"122","BLCA","Phosphatidylinositol Phosphate Metabolism","INPP5D"
"123","BLCA","Phosphatidylinositol Phosphate Metabolism","INPP5E"
"124","BLCA","Phosphatidylinositol Phosphate Metabolism","PI4KA"
"125","BLCA","Phosphatidylinositol Phosphate Metabolism","PIK3C2A"
"126","BLCA","Phosphatidylinositol Phosphate Metabolism","ERBB2"
"127","BLCA","Phosphatidylinositol Phosphate Metabolism","PIK3CD"
"128","BLCA","Phosphatidylinositol Phosphate Metabolism","PTEN"
"129","BLCA","Phosphatidylinositol Phosphate Metabolism","PLCB1"
"130","BLCA","Phosphatidylinositol Phosphate Metabolism","CDIPT"
"131","BLCA","Phosphatidylinositol Phosphate Metabolism","SYNJ1"
"132","BLCA","Phosphatidylinositol Phosphate Metabolism","PIK3CA"
"133","BLCA","Phosphatidylinositol Phosphate Metabolism","PIK3R1"
"134","BLCA","Phosphatidylinositol Phosphate Metabolism","PIK3C3"
"135","BLCA","Phosphatidylinositol Phosphate Metabolism","PIK3R4"
"136","BLCA","Phosphatidylinositol Phosphate Metabolism","AMBRA1"
"137","BLCA","Phosphatidylinositol Phosphate Metabolism","PIKFYVE"
"138","BLCA","Phosphatidylinositol Phosphate Metabolism","FIG4"
"139","BLCA","Phosphatidylinositol Phosphate Metabolism","VAC14"
"140","BLCA","Phosphatidylinositol Phosphate Metabolism","PIP5K1A"
"141","BLCA","Phosphatidylinositol Phosphate Metabolism","INPP4B"
"142","BLCA","Phosphatidylinositol Phosphate Metabolism","PIP4K2A"
"143","BLCA","Phosphatidylinositol Phosphate Metabolism","INPP5D"
"144","BLCA","Phosphatidylinositol Phosphate Metabolism","INPP5E"
"145","BLCA","Phosphatidylinositol Phosphate Metabolism","PI4KA"
"146","BLCA","Phosphatidylinositol Phosphate Metabolism","PIK3C2A"
"147","BLCA","Phosphatidylinositol Phosphate Metabolism","ERBB2"
"148","BLCA","Phosphatidylinositol Phosphate Metabolism","PIK3CD"
"149","BLCA","Phosphatidylinositol Phosphate Metabolism","PTEN"
"150","BLCA","Phosphatidylinositol Phosphate Metabolism","PLCB1"
"151","BRCA","Phosphatidylinositol Phosphate Metabolism","CDIPT"
"152","BRCA","Phosphatidylinositol Phosphate Metabolism","SYNJ1"
"153","BRCA","Phosphatidylinositol Phosphate Metabolism","PIK3CA"
