"","CancerType","Pathways","Gene"
"1","BLCA","HALLMARK_ANDROGEN_RESPONSE","ABCC4"
"2","BLCA","HALLMARK_ANDROGEN_RESPONSE","ABHD2"
"3","BLCA","HALLMARK_ANDROGEN_RESPONSE","ACSL3"
"4","BLCA","HALLMARK_ANDROGEN_RESPONSE","ACTN1"
"5","BLCA","HALLMARK_ANDROGEN_RESPONSE","ADAMTS1"
"6","BLCA","HALLMARK_ANDROGEN_RESPONSE","ADRM1"
"7","BLCA","HALLMARK_ANDROGEN_RESPONSE","AKAP12"
"8","BLCA","HALLMARK_ANDROGEN_RESPONSE","AKT1"
"9","BLCA","HALLMARK_ANDROGEN_RESPONSE","ALDH1A3"
"10","BLCA","HALLMARK_ANDROGEN_RESPONSE","ANKH"
"11","BLCA","HALLMARK_ANDROGEN_RESPONSE","APPBP2"
"12","BLCA","HALLMARK_ANDROGEN_RESPONSE","ARID5B"
"13","BLCA","HALLMARK_ANDROGEN_RESPONSE","AZGP1"
"14","BLCA","HALLMARK_ANDROGEN_RESPONSE","B2M"
"15","BLCA","HALLMARK_ANDROGEN_RESPONSE","B2M"
"16","BLCA","HALLMARK_ANDROGEN_RESPONSE","B4GALT1"
"17","BLCA","HALLMARK_ANDROGEN_RESPONSE","BMPR1B"
"18","BLCA","HALLMARK_ANDROGEN_RESPONSE","CAMKK2"
"19","BLCA","HALLMARK_ANDROGEN_RESPONSE","CCND1"
"20","BLCA","HALLMARK_ANDROGEN_RESPONSE","CCND3"
"21","BLCA","HALLMARK_ANDROGEN_RESPONSE","CDC14B"
"22","BLCA","HALLMARK_ANDROGEN_RESPONSE","CDK6"
"23","BLCA","HALLMARK_ANDROGEN_RESPONSE","CENPN"
"24","BLCA","HALLMARK_ANDROGEN_RESPONSE","DBI"
"25","BLCA","HALLMARK_ANDROGEN_RESPONSE","DHCR24"
"26","BLCA","HALLMARK_ANDROGEN_RESPONSE","DNAJB9"
"27","BLCA","HALLMARK_ANDROGEN_RESPONSE","ELK4"
"28","BLCA","HALLMARK_ANDROGEN_RESPONSE","ELL2"
"29","BLCA","HALLMARK_ANDROGEN_RESPONSE","ELOVL5"
"30","BLCA","HALLMARK_ANDROGEN_RESPONSE","FADS1"
"31","BLCA","HALLMARK_ANDROGEN_RESPONSE","FKBP5"
"32","BLCA","HALLMARK_ANDROGEN_RESPONSE","GNAI3"
"33","BLCA","HALLMARK_ANDROGEN_RESPONSE","GPD1L"
"34","BLCA","HALLMARK_ANDROGEN_RESPONSE","GSR"
"35","BLCA","HALLMARK_ANDROGEN_RESPONSE","GUCY1A1"
"36","BLCA","HALLMARK_ANDROGEN_RESPONSE","H1-0"
"37","BLCA","HALLMARK_ANDROGEN_RESPONSE","HERC3"
"38","BLCA","HALLMARK_ANDROGEN_RESPONSE","HERC3"
"39","BLCA","HALLMARK_ANDROGEN_RESPONSE","HMGCR"
"40","BLCA","HALLMARK_ANDROGEN_RESPONSE","HMGCS1"
"41","BLCA","HALLMARK_ANDROGEN_RESPONSE","HOMER2"
"42","BLCA","HALLMARK_ANDROGEN_RESPONSE","HPGD"
"43","BLCA","HALLMARK_ANDROGEN_RESPONSE","HSD17B14"
"44","BLCA","HALLMARK_ANDROGEN_RESPONSE","IDI1"
"45","BLCA","HALLMARK_ANDROGEN_RESPONSE","INPP4B"
"46","BLCA","HALLMARK_ANDROGEN_RESPONSE","INSIG1"
"47","BLCA","HALLMARK_ANDROGEN_RESPONSE","IQGAP2"
"48","BLCA","HALLMARK_ANDROGEN_RESPONSE","ITGAV"
"49","BLCA","HALLMARK_ANDROGEN_RESPONSE","KLK2"
"50","BLCA","HALLMARK_ANDROGEN_RESPONSE","KLK3"
"51","BLCA","HALLMARK_ANDROGEN_RESPONSE","KRT19"
"52","BLCA","HALLMARK_ANDROGEN_RESPONSE","KRT8"
"53","BLCA","HALLMARK_ANDROGEN_RESPONSE","LIFR"
"54","BLCA","HALLMARK_ANDROGEN_RESPONSE","LMAN1"
"55","BLCA","HALLMARK_ANDROGEN_RESPONSE","MAF"
"56","BLCA","HALLMARK_ANDROGEN_RESPONSE","MAK"
"57","BLCA","HALLMARK_ANDROGEN_RESPONSE","MAP7"
"58","BLCA","HALLMARK_ANDROGEN_RESPONSE","MERTK"
"59","BLCA","HALLMARK_ANDROGEN_RESPONSE","MYL12A"
"60","BLCA","HALLMARK_ANDROGEN_RESPONSE","NCOA4"
"61","BLCA","HALLMARK_ANDROGEN_RESPONSE","NDRG1"
"62","BLCA","HALLMARK_ANDROGEN_RESPONSE","NGLY1"
"63","BLCA","HALLMARK_ANDROGEN_RESPONSE","NKX3-1"
"64","BLCA","HALLMARK_ANDROGEN_RESPONSE","PA2G4"
"65","BLCA","HALLMARK_ANDROGEN_RESPONSE","PDLIM5"
"66","BLCA","HALLMARK_ANDROGEN_RESPONSE","PGM3"
"67","BLCA","HALLMARK_ANDROGEN_RESPONSE","PIAS1"
"68","BLCA","HALLMARK_ANDROGEN_RESPONSE","PLPP1"
"69","BLCA","HALLMARK_ANDROGEN_RESPONSE","PMEPA1"
