"","CancerType","Pathway","Gene"
"1","LGG","Glycolysis / Gluconeogenesis","GPI"
"2","PCPG","Glycolysis / Gluconeogenesis","DLAT"
"3","LGG","Glycolysis / Gluconeogenesis","DLD"
"4","LGG","Glycolysis / Gluconeogenesis","GCK"
"5","PCPG","Glycolysis / Gluconeogenesis","DLD"
"6","LGG","Glycolysis / Gluconeogenesis","HK2"
"7","PCPG","Glycolysis / Gluconeogenesis","LDHAL6A"
"8","LGG","Glycolysis / Gluconeogenesis","ENO2"
"9","LGG","Glycolysis / Gluconeogenesis","PDHB"
"10","LGG","Glycolysis / Gluconeogenesis","PGK2"
"11","LGG","Glycolysis / Gluconeogenesis","DLAT"
"12","LGG","Glycolysis / Gluconeogenesis","HKDC1"
"13","PCPG","Glycolysis / Gluconeogenesis","FBP1"
"14","LGG","Glycolysis / Gluconeogenesis","ENO1"
"15","PCPG","Glycolysis / Gluconeogenesis","PDHA1"
"16","LGG","Glycolysis / Gluconeogenesis","PFKM"
"17","LGG","Glycolysis / Gluconeogenesis","GAPDHS"
"18","LGG","Glycolysis / Gluconeogenesis","PDHA1"
"19","PCPG","Glycolysis / Gluconeogenesis","G6PC1"
"20","COADREAD","Glycolysis / Gluconeogenesis","ALDH1B1"
"21","PCPG","Glycolysis / Gluconeogenesis","PDHB"
"22","PCPG","Glycolysis / Gluconeogenesis","LDHC"
"23","PCPG","Glycolysis / Gluconeogenesis","ADH1A"
"24","LGG","Glycolysis / Gluconeogenesis","LDHAL6A"
"25","PCPG","Glycolysis / Gluconeogenesis","LDHB"
"26","PCPG","Glycolysis / Gluconeogenesis","PDHA2"
"27","COADREAD","Glycolysis / Gluconeogenesis","ADH5"
"28","LGG","Glycolysis / Gluconeogenesis","ENO4"
"29","LGG","Glycolysis / Gluconeogenesis","LDHAL6B"
"30","LGG","Glycolysis / Gluconeogenesis","PDHA2"
"31","LGG","Glycolysis / Gluconeogenesis","PKLR"
"32","PCPG","Glycolysis / Gluconeogenesis","LDHA"
"33","LGG","Glycolysis / Gluconeogenesis","HK1"
"34","PCPG","Glycolysis / Gluconeogenesis","PFKM"
"35","PCPG","Glycolysis / Gluconeogenesis","PFKP"
"36","PCPG","Glycolysis / Gluconeogenesis","PFKL"
"37","OS","Glycolysis / Gluconeogenesis","MINPP1"
"38","PCPG","Glycolysis / Gluconeogenesis","FBP2"
"39","OS","Glycolysis / Gluconeogenesis","PCK2"
"40","PCPG","Glycolysis / Gluconeogenesis","PKM"
"41","COADREAD","Glycolysis / Gluconeogenesis","ADH6"
"42","COADREAD","Glycolysis / Gluconeogenesis","AKR1A1"
"43","LGG","Glycolysis / Gluconeogenesis","PKM"
"44","COADREAD","Glycolysis / Gluconeogenesis","ALDH2"
"45","COADREAD","Glycolysis / Gluconeogenesis","ALDH3A2"
"46","PCPG","Glycolysis / Gluconeogenesis","PGM2"
