"","Cancer_type","Pathway","Gene"
"1","BLCA","hsa00040","GUSB"
"2","BLCA","hsa00040","KL"
"3","BLCA","hsa00040","UGT2A1"
"4","BLCA","hsa00040","UGT2A3"
"5","BLCA","hsa00040","UGT2B17"
"6","BLCA","hsa00040","UGT2B11"
"7","BLCA","hsa00040","UGT2B28"
"8","BLCA","hsa00040","UGT1A6"
"9","BLCA","hsa00040","UGT1A4"
"10","BLCA","hsa00040","UGT1A1"
"11","BLCA","hsa00040","UGT1A3"
"12","BLCA","hsa00040","UGT2B10"
"13","BLCA","hsa00040","UGT1A9"
"14","BLCA","hsa00040","UGT2B7"
"15","BLCA","hsa00040","UGT1A10"
"16","BLCA","hsa00040","UGT1A8"
"17","BLCA","hsa00040","UGT1A5"
"18","BLCA","hsa00040","UGT2B15"
"19","BLCA","hsa00040","UGT1A7"
"20","BLCA","hsa00040","UGT2B4"
"21","BLCA","hsa00040","UGT2A2"
"22","BLCA","hsa00040","UGDH"
"23","BLCA","hsa00040","UGP2"
"24","BLCA","hsa00040","AKR1A1"
"25","BLCA","hsa00040","CRYL1"
"26","BLCA","hsa00040","RPE"
"27","BLCA","hsa00040","RPEL1"
"28","BLCA","hsa00040","XYLB"
"29","BLCA","hsa00040","AKR1B1"
"30","BLCA","hsa00040","AKR1B10"
"31","BLCA","hsa00040","AKR1B15"
"32","BLCA","hsa00040","DCXR"
"33","BLCA","hsa00040","SORD"
"34","BLCA","hsa00040","DHDH"
"35","BLCA","hsa00040","FGGY"
"36","BLCA","hsa00040","CRPPA"
"37","BLCA","hsa00480","GGT7"
"38","BLCA","hsa00480","GGT6"
"39","BLCA","hsa00480","GGT1"
"40","BLCA","hsa00480","GGT5"
"41","BLCA","hsa00480","GGCT"
"42","BLCA","hsa00480","CHAC1"
"43","BLCA","hsa00480","CHAC2"
"44","BLCA","hsa00480","OPLAH"
"45","BLCA","hsa00480","GCLC"
"46","BLCA","hsa00480","GCLM"
"47","BLCA","hsa00480","GSS"
"48","BLCA","hsa00480","LAP3"
"49","BLCA","hsa00480","ANPEP"
"50","BLCA","hsa00480","GSTA5"
"51","BLCA","hsa00480","GSTA2"
"52","BLCA","hsa00480","GSTA4"
"53","BLCA","hsa00480","GSTO2"
"54","BLCA","hsa00480","GSTM4"
"55","BLCA","hsa00480","GSTT2"
"56","BLCA","hsa00480","GSTT1"
"57","BLCA","hsa00480","GSTM3"
"58","BLCA","hsa00480","MGST1"
"59","BLCA","hsa00480","MGST3"
"60","BLCA","hsa00480","GSTM1"
"61","BLCA","hsa00480","GSTM5"
"62","BLCA","hsa00480","MGST2"
"63","BLCA","hsa00480","GSTA1"
"64","BLCA","hsa00480","GSTM2"
"65","BLCA","hsa00480","GSTA3"
"66","BLCA","hsa00480","GSTO1"
"67","BLCA","hsa00480","GSTT2B"
"68","BLCA","hsa00480","GSTP1"
"69","BLCA","hsa00480","GSTK1"
"70","BLCA","hsa00480","HPGDS"
"71","BLCA","hsa00480","LANCL1"
"72","BLCA","hsa00480","NAT8"
"73","BLCA","hsa00480","GSR"
"74","BLCA","hsa00480","IDH1"
"75","BLCA","hsa00480","IDH2"
"76","BLCA","hsa00480","PGD"
"77","BLCA","hsa00480","G6PD"
"78","BLCA","hsa00480","TXNDC12"
"79","BLCA","hsa00480","GPX4"
"80","BLCA","hsa00480","GPX6"
"81","BLCA","hsa00480","GPX7"
"82","BLCA","hsa00480","GPX2"
"83","BLCA","hsa00480","GPX3"
"84","BLCA","hsa00480","GPX1"
"85","BLCA","hsa00480","GPX5"
"86","BLCA","hsa00480","GPX8"
"87","BLCA","hsa00480","PRDX6"
"88","BLCA","hsa00480","ODC1"
"89","BLCA","hsa00480","SRM"
"90","BLCA","hsa00480","SMS"
"91","BLCA","hsa00480","RRM1"
"92","BLCA","hsa00480","RRM2B"
"93","BLCA","hsa00480","RRM2"
"94","BLCA","hsa00380","TDO2"
"95","BLCA","hsa00380","IDO1"
"96","BLCA","hsa00380","IDO2"
"97","BLCA","hsa00380","AFMID"
"98","BLCA","hsa00380","KMO"
"99","BLCA","hsa00380","KYNU"
"100","BLCA","hsa00380","HAAO"
"101","BLCA","hsa00380","ACMSD"
"102","BLCA","hsa00380","ALDH8A1"
"103","BLCA","hsa00380","DHTKD1"
"104","BLCA","hsa00380","DLST"
"105","BLCA","hsa00380","DLD"
"106","BLCA","hsa00380","GCDH"
"107","BLCA","hsa00380","HADHA"
"108","BLCA","hsa00380","EHHADH"
"109","BLCA","hsa00380","ECHS1"
"110","BLCA","hsa00380","HADH"
"111","BLCA","hsa00380","ACAT2"
"112","BLCA","hsa00380","ACAT1"
"113","BLCA","hsa00380","KYAT3"
"114","BLCA","hsa00380","KYAT1"
"115","BLCA","hsa00380","AADAT"
"116","BLCA","hsa00380","TPH2"
"117","BLCA","hsa00380","TPH1"
"118","BLCA","hsa00380","DDC"
"119","BLCA","hsa00380","MAOB"
"120","BLCA","hsa00380","MAOA"
"121","BLCA","hsa00380","ALDH2"
"122","BLCA","hsa00380","ALDH3A2"
"123","BLCA","hsa00380","ALDH1B1"
"124","BLCA","hsa00380","ALDH7A1"
"125","BLCA","hsa00380","ALDH9A1"
"126","BLCA","hsa00380","AOX1"
"127","BLCA","hsa00380","ASMT"
"128","BLCA","hsa00380","AANAT"
"129","BLCA","hsa00380","CYP1A1"
"130","BLCA","hsa00380","CYP1A2"
"131","BLCA","hsa00380","CYP1B1"
"132","BLCA","hsa00380","INMT"
"133","BLCA","hsa00380","IL4I1"
"134","BLCA","hsa00380","AOC1"
"135","BLCA","hsa00380","CAT"
"136","BLCA","hsa00982","CYP2D6"
"137","BLCA","hsa00982","CYP2D7"
"138","BLCA","hsa00982","CYP2D6"
"139","BLCA","hsa00982","CYP2C9"
"140","BLCA","hsa00982","CYP3A4"
"141","BLCA","hsa00982","FMO1"
"142","BLCA","hsa00982","FMO2"
"143","BLCA","hsa00982","FMO5"
"144","BLCA","hsa00982","FMO3"
"145","BLCA","hsa00982","FMO4"
"146","BLCA","hsa00982","CYP2C19"
"147","BLCA","hsa00982","CYP2B6"
"148","BLCA","hsa00982","CYP3A5"
"149","BLCA","hsa00982","GSTA5"
"150","BLCA","hsa00982","GSTA2"
"151","BLCA","hsa00982","GSTA4"
"152","BLCA","hsa00982","GSTO2"
"153","BLCA","hsa00982","GSTM4"
"154","BLCA","hsa00982","GSTT2"
"155","BLCA","hsa00982","GSTT1"
"156","BLCA","hsa00982","GSTM3"
"157","BLCA","hsa00982","MGST1"
"158","BLCA","hsa00982","MGST3"
"159","BLCA","hsa00982","GSTM1"
"160","BLCA","hsa00982","GSTM5"
"161","BLCA","hsa00982","MGST2"
"162","BLCA","hsa00982","GSTA1"
"163","BLCA","hsa00982","GSTM2"
"164","BLCA","hsa00982","GSTA3"
"165","BLCA","hsa00982","GSTO1"
"166","BLCA","hsa00982","GSTT2B"
"167","BLCA","hsa00982","GSTP1"
"168","BLCA","hsa00982","GSTK1"
"169","BLCA","hsa00982","HPGDS"
"170","BLCA","hsa00982","ADH1A"
"171","BLCA","hsa00982","ADH1B"
"172","BLCA","hsa00982","ADH1C"
"173","BLCA","hsa00982","ADH7"
"174","BLCA","hsa00982","ADH4"
"175","BLCA","hsa00982","ADH5"
"176","BLCA","hsa00982","ADH6"
"177","BLCA","hsa00982","ALDH3B1"
"178","BLCA","hsa00982","ALDH3B2"
"179","BLCA","hsa00982","ALDH3A1"
"180","BLCA","hsa00982","MAOB"
"181","BLCA","hsa00982","MAOA"
"182","BLCA","hsa00982","AOX1"
"183","BLCA","hsa00982","UGT2A1"
"184","BLCA","hsa00982","UGT2A3"
"185","BLCA","hsa00982","UGT2B17"
"186","BLCA","hsa00982","UGT2B11"
"187","BLCA","hsa00982","UGT2B28"
"188","BLCA","hsa00982","UGT1A6"
"189","BLCA","hsa00982","UGT1A4"
"190","BLCA","hsa00982","UGT1A1"
"191","BLCA","hsa00982","UGT1A3"
"192","BLCA","hsa00982","UGT2B10"
"193","BLCA","hsa00982","UGT1A9"
"194","BLCA","hsa00982","UGT2B7"
"195","BLCA","hsa00982","UGT1A10"
"196","BLCA","hsa00982","UGT1A8"
"197","BLCA","hsa00982","UGT1A5"
"198","BLCA","hsa00982","UGT2B15"
"199","BLCA","hsa00982","UGT1A7"
"200","BLCA","hsa00982","UGT2B4"
"201","BLCA","hsa00982","UGT2A2"
"202","BLCA","hsa00982","CYP1A2"
"203","BLCA","hsa00982","CYP2E1"
"204","BLCA","hsa00982","CYP2C8"
"205","BLCA","hsa00982","CYP2A6"
"206","BLCA","hsa00982","CYP2A7"
"207","BLCA","hsa00140","CYP11A1"
"208","BLCA","hsa00140","CYP17A1"
"209","BLCA","hsa00140","STS"
"210","BLCA","hsa00140","SULT2B1"
"211","BLCA","hsa00140","CYP21A2"
"212","BLCA","hsa00140","HSD3B1"
"213","BLCA","hsa00140","HSD3B2"
"214","BLCA","hsa00140","SRD5A1"
"215","BLCA","hsa00140","SRD5A2"
"216","BLCA","hsa00140","SRD5A3"
"217","BLCA","hsa00140","AKR1C2"
"218","BLCA","hsa00140","AKR1C3"
"219","BLCA","hsa00140","CYP11B1"
"220","BLCA","hsa00140","CYP11B2"
"221","BLCA","hsa00140","AKR1D1"
"222","BLCA","hsa00140","AKR1C4"
"223","BLCA","hsa00140","HSD11B1"
"224","BLCA","hsa00140","HSD11B1L"
"225","BLCA","hsa00140","HSD11B2"
"226","BLCA","hsa00140","AKR1C1"
"227","BLCA","hsa00140","CYP7B1"
"228","BLCA","hsa00140","SULT1E1"
"229","BLCA","hsa00140","HSD17B1"
"230","BLCA","hsa00140","HSD17B2"
"231","BLCA","hsa00140","HSD17B6"
"232","BLCA","hsa00140","HSD17B7"
"233","BLCA","hsa00140","HSD17B8"
"234","BLCA","hsa00140","HSD17B12"
"235","BLCA","hsa00140","DHRS11"
"236","BLCA","hsa00140","CYP1A1"
"237","BLCA","hsa00140","CYP1A2"
"238","BLCA","hsa00140","CYP3A5"
"239","BLCA","hsa00140","CYP3A7"
"240","BLCA","hsa00140","CYP3A7-CYP3A51P"
"241","BLCA","hsa00140","CYP2E1"
"242","BLCA","hsa00140","CYP3A4"
"243","BLCA","hsa00140","CYP1B1"
"244","BLCA","hsa00140","CYP19A1"
"245","BLCA","hsa00140","CYP7A1"
"246","BLCA","hsa00140","HSD17B11"
"247","BLCA","hsa00140","UGT2A1"
"248","BLCA","hsa00140","UGT2A3"
"249","BLCA","hsa00140","UGT2B17"
"250","BLCA","hsa00140","UGT2B11"
"251","BLCA","hsa00140","UGT2B28"
"252","BLCA","hsa00140","UGT1A6"
"253","BLCA","hsa00140","UGT1A4"
"254","BLCA","hsa00140","UGT1A1"
"255","BLCA","hsa00140","UGT1A3"
"256","BLCA","hsa00140","UGT2B10"
"257","BLCA","hsa00140","UGT1A9"
"258","BLCA","hsa00140","UGT2B7"
"259","BLCA","hsa00140","UGT1A10"
"260","BLCA","hsa00140","UGT1A8"
"261","BLCA","hsa00140","UGT1A5"
"262","BLCA","hsa00140","UGT2B15"
"263","BLCA","hsa00140","UGT1A7"
"264","BLCA","hsa00140","UGT2B4"
"265","BLCA","hsa00140","UGT2A2"
"266","BLCA","hsa00140","COMT"
"267","BLCA","hsa00140","LRTOMT"
"268","BLCA","hsa00140","HSD17B3"
"269","BLCA","hsa00310","AASS"
"270","BLCA","hsa00310","ALDH7A1"
"271","BLCA","hsa00310","AADAT"
"272","BLCA","hsa00310","DHTKD1"
"273","BLCA","hsa00310","DLST"
"274","BLCA","hsa00310","DLD"
"275","BLCA","hsa00310","GCDH"
"276","BLCA","hsa00310","HADHA"
"277","BLCA","hsa00310","EHHADH"
"278","BLCA","hsa00310","ECHS1"
"279","BLCA","hsa00310","HADH"
"280","BLCA","hsa00310","ACAT2"
"281","BLCA","hsa00310","ACAT1"
"282","BLCA","hsa00310","HYKK"
"283","BLCA","hsa00310","PHYKPL"
"284","BLCA","hsa00310","PIPOX"
"285","BLCA","hsa00310","CAMKMT"
"286","BLCA","hsa00310","KMT2A"
"287","BLCA","hsa00310","KMT2D"
"288","BLCA","hsa00310","KMT2C"
"289","BLCA","hsa00310","KMT2B"
"290","BLCA","hsa00310","KMT2E"
"291","BLCA","hsa00310","SETD1B"
"292","BLCA","hsa00310","SETD1A"
"293","BLCA","hsa00310","SETD7"
"294","BLCA","hsa00310","PRDM9"
"295","BLCA","hsa00310","PRDM7"
"296","BLCA","hsa00310","ASH1L"
"297","BLCA","hsa00310","SMYD2"
"298","BLCA","hsa00310","SMYD3"
"299","BLCA","hsa00310","SMYD1"
"300","BLCA","hsa00310","SUV39H1"
"301","BLCA","hsa00310","SUV39H2"
"302","BLCA","hsa00310","EHMT2"
"303","BLCA","hsa00310","EHMT1"
"304","BLCA","hsa00310","SETDB1"
"305","BLCA","hsa00310","SETDB2"
"306","BLCA","hsa00310","PRDM2"
"307","BLCA","hsa00310","EZH1"
"308","BLCA","hsa00310","EZH2"
"309","BLCA","hsa00310","SETMAR"
"310","BLCA","hsa00310","NSD1"
"311","BLCA","hsa00310","NSD2"
"312","BLCA","hsa00310","NSD3"
"313","BLCA","hsa00310","SETD2"
"314","BLCA","hsa00310","DOT1L"
"315","BLCA","hsa00310","KMT5A"
"316","BLCA","hsa00310","PRDM6"
"317","BLCA","hsa00310","KMT5C"
"318","BLCA","hsa00310","KMT5B"
"319","BLCA","hsa00310","MECOM"
"320","BLCA","hsa00310","PRDM16"
"321","BLCA","hsa00310","TMLHE"
"322","BLCA","hsa00310","ALDH2"
"323","BLCA","hsa00310","ALDH3A2"
"324","BLCA","hsa00310","ALDH1B1"
"325","BLCA","hsa00310","ALDH9A1"
"326","BLCA","hsa00310","BBOX1"
"327","BLCA","hsa00310","PLOD1"
"328","BLCA","hsa00310","PLOD2"
"329","BLCA","hsa00310","PLOD3"
"330","BLCA","hsa00310","COLGALT1"
"331","BLCA","hsa00310","COLGALT2"
"332","BLCA","hsa00640","ACSS1"
"333","BLCA","hsa00640","ACSS2"
"334","BLCA","hsa00640","ACSS3"
"335","BLCA","hsa00640","BCKDHA"
"336","BLCA","hsa00640","BCKDHB"
"337","BLCA","hsa00640","DBT"
"338","BLCA","hsa00640","DLD"
"339","BLCA","hsa00640","ACADS"
"340","BLCA","hsa00640","ACOX3"
"341","BLCA","hsa00640","ACOX1"
"342","BLCA","hsa00640","HADHA"
"343","BLCA","hsa00640","EHHADH"
"344","BLCA","hsa00640","ECHS1"
"345","BLCA","hsa00640","HIBCH"
"346","BLCA","hsa00640","ACACA"
"347","BLCA","hsa00640","ACACB"
"348","BLCA","hsa00640","MLYCD"
"349","BLCA","hsa00640","ABAT"
"350","BLCA","hsa00640","PCCA"
"351","BLCA","hsa00640","PCCB"
"352","BLCA","hsa00640","ECHDC1"
"353","BLCA","hsa00640","MCEE"
"354","BLCA","hsa00640","MMUT"
"355","BLCA","hsa00640","SUCLG1"
"356","BLCA","hsa00640","SUCLG2"
"357","BLCA","hsa00640","SUCLA2"
"358","BLCA","hsa00640","ALDH6A1"
"359","BLCA","hsa00640","LDHAL6A"
"360","BLCA","hsa00640","LDHAL6B"
"361","BLCA","hsa00640","LDHA"
"362","BLCA","hsa00640","LDHB"
"363","BLCA","hsa00640","LDHC"
"364","BLCA","hsa00190","ND1"
"365","BLCA","hsa00190","ND2"
"366","BLCA","hsa00190","ND3"
"367","BLCA","hsa00190","ND4"
"368","BLCA","hsa00190","ND4L"
"369","BLCA","hsa00190","ND5"
"370","BLCA","hsa00190","ND6"
"371","BLCA","hsa00190","NDUFS1"
"372","BLCA","hsa00190","NDUFS2"
"373","BLCA","hsa00190","NDUFS3"
"374","BLCA","hsa00190","NDUFS4"
"375","BLCA","hsa00190","NDUFS5"
"376","BLCA","hsa00190","NDUFS6"
"377","BLCA","hsa00190","NDUFS7"
