"driver_gene","Pathway","Cancer_type","new"
"ACO1","Porphyrinmetabolism/hsa00860","COAD","ACO1 COAD"
"ACSL3","Pentoseandglucuronateinterconversions/hsa00040","ESCA","ACSL3 ESCA"
"ACSL3","Pentoseandglucuronateinterconversions/hsa00040","STAD","ACSL3 STAD"
"ACSL3","Pentoseandglucuronateinterconversions/hsa00040","CHOL","ACSL3 CHOL"
"ACSL3","Pentoseandglucuronateinterconversions/hsa00040","SKCM","ACSL3 SKCM"
"ACSL3","Pentoseandglucuronateinterconversions/hsa00040","DLBC","ACSL3 DLBC"
"ACSL3","Pentoseandglucuronateinterconversions/hsa00040","LAML","ACSL3 LAML"
"ACSL3","Pentoseandglucuronateinterconversions/hsa00040","PRAD","ACSL3 PRAD"
"ACSL3","Pentoseandglucuronateinterconversions/hsa00040","CESC","ACSL3 CESC"
"ACSL3","Pentoseandglucuronateinterconversions/hsa00040","UCEC","ACSL3 UCEC"
"ACSL3","Pentoseandglucuronateinterconversions/hsa00040","COAD","ACSL3 COAD"
"ACSL3","Pentoseandglucuronateinterconversions/hsa00040","READ","ACSL3 READ"
"ACSL6","Pentoseandglucuronateinterconversions/hsa00040","PANCAN","ACSL6 PANCAN"
"ACSL6","Pentoseandglucuronateinterconversions/hsa00040","LUAD","ACSL6 LUAD"
"ACSL6","Pentoseandglucuronateinterconversions/hsa00040","COAD","ACSL6 COAD"
"ACSL6","Pentoseandglucuronateinterconversions/hsa00040","UCEC","ACSL6 UCEC"
"ACSL6","Pentoseandglucuronateinterconversions/hsa00040","LUSC","ACSL6 LUSC"
"ACSL6","Pentoseandglucuronateinterconversions/hsa00040","STAD","ACSL6 STAD"
"ACSL6","Pentoseandglucuronateinterconversions/hsa00040","SKCM","ACSL6 SKCM"
"ACSL6","Pentoseandglucuronateinterconversions/hsa00040","READ","ACSL6 READ"
"ACSL6","Pentoseandglucuronateinterconversions/hsa00040","CESC","ACSL6 CESC"
"ACSL6","Pentoseandglucuronateinterconversions/hsa00040","BLCA","ACSL6 BLCA"
"ACSL6","Pentoseandglucuronateinterconversions/hsa00040","LIHC","ACSL6 LIHC"
"ACSL6","Pentoseandglucuronateinterconversions/hsa00040","SARC","ACSL6 SARC"
