"Gene","Pathway","Cancer_type","new"
"ABCC5","Hyaluronan metabolism","HNSC","ABCC5 HNSC"
"ACSL3","Fatty acyl-CoA biosynthesis","UCEC","ACSL3 UCEC"
"ACSL3","Fatty acyl-CoA biosynthesis","COAD","ACSL3 COAD"
"ACSL3","Fatty acyl-CoA biosynthesis","PRAD","ACSL3 PRAD"
"ACSL3","Fatty acyl-CoA biosynthesis","CHOL","ACSL3 CHOL"
"ACSL3","Fatty acyl-CoA biosynthesis","CESC","ACSL3 CESC"
"ACSL3","Fatty acyl-CoA biosynthesis","READ","ACSL3 READ"
"ACSL3","Fatty acyl-CoA biosynthesis","ESCA","ACSL3 ESCA"
"ACSL3","Fatty acyl-CoA biosynthesis","SKCM","ACSL3 SKCM"
"ACSL3","Fatty acyl-CoA biosynthesis","DLBC","ACSL3 DLBC"
"ACSL3","Fatty acyl-CoA biosynthesis","STAD","ACSL3 STAD"
"ACSL3","Fatty acyl-CoA biosynthesis","LAML","ACSL3 LAML"
"ACSL6","Fatty acyl-CoA biosynthesis","STAD","ACSL6 STAD"
"ACSL6","Fatty acyl-CoA biosynthesis","PANCAN","ACSL6 PANCAN"
"ACSL6","Fatty acyl-CoA biosynthesis","SARC","ACSL6 SARC"
"ACSL6","Fatty acyl-CoA biosynthesis","LUSC","ACSL6 LUSC"
"ACSL6","Fatty acyl-CoA biosynthesis","SKCM","ACSL6 SKCM"
"ACSL6","Fatty acyl-CoA biosynthesis","LIHC","ACSL6 LIHC"
"ACSL6","Fatty acyl-CoA biosynthesis","LUAD","ACSL6 LUAD"
"ACSL6","Fatty acyl-CoA biosynthesis","UCEC","ACSL6 UCEC"
"ACSL6","Fatty acyl-CoA biosynthesis","COAD","ACSL6 COAD"
"ACSL6","Fatty acyl-CoA biosynthesis","CESC","ACSL6 CESC"
"ACSL6","Fatty acyl-CoA biosynthesis","READ","ACSL6 READ"
"ACSL6","Fatty acyl-CoA biosynthesis","BLCA","ACSL6 BLCA"
"ACSM2A","Conjugation of carboxylic acids","KIRP","ACSM2A KIRP"
"ACSM3","Fatty acid metabolism","GBM","ACSM3 GBM"
"ACTB","UCH proteinases","BLCA","ACTB BLCA"
"ADAM10","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","KIRC","ADAM10 KIRC"
"ADAMTS12","Metabolism of proteins","LIHC","ADAMTS12 LIHC"
"ADAMTS20","Metabolism of proteins","PRAD","ADAMTS20 PRAD"
