"Pathway","Genes","Category"
"Alanine, aspartate and glutamate metabolism","HEXA,HEXB,NAGK,AMDHD2,GNPDA1,GNPDA2,HK3,HK1,HK2,HKDC1,GFPT2,GFPT1,GNPNAT1,PGM3,GALK2,UAP1,UAP1L1,GNE,RENBP,NANS,NANP,NPL,CMAS,CYB5R1,CYB5R3,CYB5R2,CYB5RL,CYB5R4,UXS1,GCK,PGM1,PGM2,UGP2,UGDH,GALK1,GALT,GALE,GPI,MPI,PMM2,PMM1,GMPPB,GMPPA,GMDS,GFUS,FCSK,FPGT,HK3,HK1,HK2,HKDC1,GCK,HYAL2,HYAL1,SPAM1,HYAL4,HYAL3,GUSB,IDS,IDUA,ARSB,HPSE,HPSE2,SGSH,HGSNAT,NAGLU,GALNS,GLB1,GNS,HEXA,HEXB,XYLT1,XYLT2,B4GALT7","KEGG"
"Amino sugar and nucleotide sugar metabolism","KHK,SORD,AKR1B1,AKR1B10,AKR1B15,ALDOC,ALDOA,ALDOB,TPI1,TKFC,GALM,GALK1,GALT,GALE,UGP2,PGM1,PGM2,HK3,HK1,HK2,HKDC1,GCK,G6PC1,G6PC2,G6PC3,GLB1,LCT,LALBA,B4GALT1,B4GALT2,GLA,AKR1B1,AKR1B10,AKR1B15,PFKM,PFKP,PFKL,MGAM,MGAM2,GAA,GANC,SI,UGDH,UGT2A1,UGT2A3,UGT2B17,UGT2B11,UGT2B28,UGT1A6,UGT1A4,UGT1A1,UGT1A3,UGT2B10,UGT1A9,UGT2B7,UGT1A10,UGT1A8,UGT1A5,UGT2B15,UGT1A7,UGT2B4,UGT2A2,GUSB,KL,MIOX,AKR1A1,RGN,ALDH2,ALDH3A2,ALDH1B1,ALDH7A1,ALDH9A1,ACACA,ACACB,ACSF3,MCAT,FASN,OXSM,CBR4,HSD17B8,HTD2,MECR,OLAH,ACSL6,ACSL4,ACSL1,ACSL5,ACSL3,ACSBG1,ACSBG2,ACAA2,HADHB,HADH,HADHA,ECHS1,MECR,PPT1,PPT2","KEGG"
"Aminoacyl-tRNA biosynthesis","NTPCR,ALPL,ALPI,ALPP,ALPG,ACP1,TPK1,AK7,AK4,AK5,AK2,AK1,AK8,THTPA,RFK,ACP5,ACP1,ACP2,FLAD1,ENPP1,ENPP3,BLVRB,PNPO,PDXK,PDXP,PHOSPHO2,AOX1,PSAT1,ASPDH,QPRT,NAPRT,PNP,NMRK1,NMRK2,NT5C2,NT5C1A,NT5C1B,NT5C,NT5M,NT5C1B_RDH14,NT5DC4,NT5E,NMNAT3,NMNAT1,NMNAT2,ENPP1,ENPP3,NUDT12,NUDT13,NADSYN1,NAMPT,CD38,BST1,SIRT1,SIRT2,SIRT3,SIRT4,SIRT5,SIRT6,SIRT7,NADK,NADK2,NNT,NNMT,AOX1,PANK1,PANK3,PANK2,PPCS,PPCDC,ENPP1,ENPP3,COASY,AASDHPPT,VNN1,VNN2,BCAT2,BCAT1,DPYD,DPYS,UPB1,GADL1,CSAD,ALDH2,ALDH3A2,ALDH1B1,OXSM,HLCS,BTD,LIPT2,LIAS,LIPT1,ACSM1,DLD,PDHA2,PDHA1,PDHB,DLAT,OGDHL,OGDH,DLST,DHTKD1,BCKDHA,BCKDHB,DBT,GLDC,AMT,GCSH,GCH1,ALPL,ALPI,ALPP,ALPG,DHFR,DHFR2,FPGS,GGH,PTS,SPR,AKR1B1,AKR1B10,AKR1B15,CBR1,AKR1C3,QDPR,PCBD2,PCBD1,PAH,TH,TPH2,TPH1,MOCS1","KEGG"
"Arachidonic acid metabolism","MAOB,MAOA,AGMAT,NOS1,NOS2,NOS3,ARG2,ARG1,OAT,PYCR3,PYCR2,PYCR1,PRODH,ALDH4A1,ALDH18A1,LAP3,P4HA2,P4HA3,P4HA1,PRODH2,GOT1,GOT1L1,GOT2,HOGA1,DAO,L3HYPDH,HAL,UROC1,AMDHD1,FTCD,HDC,AOC1,ALDH2,ALDH3A2,ALDH1B1,ALDH7A1,ALDH9A1,ASPA,HNMT,MAOB,MAOA,ALDH3B1,ALDH3B2,ALDH3A1,CARNS1,CARNMT1,CNDP2,CNDP1,GOT1,GOT1L1,GOT2,TAT,IL4I1,HPD,HGD,GSTZ1,FAH,TYR,TH,DCT,TYRP1,DDC,DBH,PNMT,COMT,LRTOMT,MAOB,MAOA,AOC3,AOC2,ALDH3B1,ALDH3B2,ALDH3A1,ADH1A,ADH1B,ADH1C,ADH7,ADH4,ADH5,ADH6,TPO,AOX1,FAHD1,MIF,PAH,DDC,AOC3,AOC2,MAOB,MAOA,ALDH3B1,ALDH3B2,ALDH3A1,GOT1,GOT1L1,GOT2,TAT,IL4I1,HPD,MIF,TDO2,IDO1,IDO2,AFMID,KMO,KYNU,HAAO,ACMSD,ALDH8A1,DHTKD1,DLST,DLD,GCDH,HADHA,EHHADH,ECHS1,HADH,ACAT2,ACAT1,KYAT3,KYAT1,AADAT","KEGG"
"Arginine and proline metabolism","CYP2E1,CYP2J2,CYP2U1,CYP2C19,CYP4F8,ALOX12,ALOXE3,ALOX12B,ALOX15B,CYP2B6,CYP2C8,CYP2C9,EPHX2,ALOX15,PLA2G10,PLA2G2D,PLA2G2E,PLA2G3,PLA2G2F,PLA2G12A,PLA2G12B,PLA2G1B,PLA2G5,PLA2G2A,PLA2G2C,PLA2G4E,PLA2G4A,JMJD7_PLA2G4B,PLA2G4B,PLA2G4C,PLA2G4D,PLA2G4F,PLA2G6,PLB1,PLAAT3,PLAAT2,ALOX15,CYP1A2,CYP2C8,CYP2C9,CYP2C19,CYP2J2,CYP2E1,CYP3A4,PLA2G10,PLA2G2D,PLA2G2E,PLA2G3,PLA2G2F,PLA2G12A,PLA2G12B,PLA2G1B,PLA2G5,PLA2G2A,PLA2G2C,PLA2G4E,PLA2G4A,JMJD7_PLA2G4B,PLA2G4B,PLA2G4C,PLA2G4D,PLA2G4F,PLA2G6,PLB1,PLAAT3,PLAAT2,FADS2,ACOX3,ACOX1,ACAA1,SPTLC1,SPTLC2,SPTLC3,KDSR,CERS1,CERS2,CERS4,CERS3,CERS6,CERS5,ASAH1,ASAH2,ACER2,ACER1,ACER3,DEGS1,DEGS2,SGMS1,SGMS2,SMPD1,SMPD2,SMPD3,SMPD4,ENPP7,CERK,PLPP1,PLPP3,PLPP2,SGPP1,SGPP2","KEGG"
"Arginine biosynthesis","DLST,DLD,GCDH,HADHA,EHHADH,ECHS1,HADH,ACAT2,ACAT1,KYAT3,KYAT1,AADAT,TPH2,TPH1,DDC,MAOB,MAOA,ALDH2,ALDH3A2,ALDH1B1,ALDH7A1,ALDH9A1,AOX1,ASMT,AANAT,CYP1A1,CYP1A2,CYP1B1,INMT,IL4I1,AOC1,CAT,GOT1,GOT1L1,GOT2,TAT,IL4I1,PAH,GADL1,CSAD,GAD1,GAD2,CNDP1,CARNS1","KEGG"
"Ascorbate and aldarate metabolism","ND3,ND4,ND4L,ND5,ND6,NDUFS1,NDUFS2,NDUFS3,NDUFS4,NDUFS5,NDUFS6,NDUFS7,NDUFS8,NDUFV1,NDUFV2,NDUFV3,NDUFA1,NDUFA2,NDUFA3,NDUFA4,NDUFA4L2,NDUFA5,NDUFA6,NDUFA7,NDUFA8,NDUFA9,NDUFA10,NDUFAB1,NDUFA11,NDUFA12,NDUFA13,NDUFB1,NDUFB2,NDUFB3,NDUFB4,NDUFB5,NDUFB6,NDUFB7,NDUFB8,NDUFB9,NDUFB10,NDUFB11,NDUFC1,NDUFC2,NDUFC2_KCTD14,SDHA,SDHB,SDHC,SDHD,UQCRFS1,CYTB,CYC1,UQCRC1,UQCRC2,UQCRH,UQCRHL,UQCRB,UQCRQ,UQCR10,UQCR11","KEGG"
"Biotin metabolism","PLA2G5,PLA2G2A,PLA2G2C,PLA2G4E,PLA2G4A,JMJD7_PLA2G4B","KEGG"
"Butanoate metabolism","TKFC,GK2,GK,GPAM,GPAT2,GPAT4,GPAT3,AGPAT1,AGPAT2,AGPAT3,AGPAT4,AGPAT5,LCLAT1,MBOAT1,MBOAT2,PLPP1,PLPP3,PLPP2,LPIN1,LPIN3,LPIN2,PLPP5,PLPP4,DGKZ,DGKD,DGKI,DGKA,DGKE,DGKB,DGKH,DGKG,DGKQ,DGKK,DGAT1,DGAT2,MOGAT3,CEL,PNPLA2,PNPLA3,PNLIP,PNLIPRP1,PNLIPRP2,PNLIPRP3,LIPC,LIPF,LIPG,LPL,AGK,MGLL,ABHD16A,MOGAT1,MOGAT2,GLA,PIK3C3","KEGG"
"Caffeine metabolism","C1GALT1C1,C1GALT1C1L,GCNT1,GCNT3,GCNT4,ST3GAL1,ST3GAL2,ST6GALNAC1,ST6GALNAC2,ST6GALNAC3,ST6GALNAC4,B3GNT3","KEGG"
